input,target
rotation 925-48-0 to 84-84-49 ,rotation: [ 925-48-0 ] -- [84-84-49 ] 
rotation 947-1-9 to 6-541-856 ,rotation: [ 947-1-9 ] -- [6-541-856 ] 
rotation 234-447-1 ,rotation: [ 234-447-1 ] 
rotation 695-2-09 to 866-126-5 ,rotation: [ 695-2-09 ] -- [866-126-5 ] 
rotation 9-07-884 ,rotation: [ 9-07-884 ] 
rotation 99-3-244 to 5-27-36 ,rotation: [ 99-3-244 ] -- [5-27-36 ] 
rotation 0-84-826 to 059-62-9 ,rotation: [ 0-84-826 ] -- [059-62-9 ] 
rotation 6-7-3 to 855-18-8 ,rotation: [ 6-7-3 ] -- [855-18-8 ] 
rotation 4-71-40 to 193-435-045 ,rotation: [ 4-71-40 ] -- [193-435-045 ] 
rotation 867-508-3 to 045-405-25 ,rotation: [ 867-508-3 ] -- [045-405-25 ] 
rotation 19-91-570 ,rotation: [ 19-91-570 ] 
rotation 362-474-462 to 823-97-29 ,rotation: [ 362-474-462 ] -- [823-97-29 ] 
rotation 52-436-3 to 86-5-877 ,rotation: [ 52-436-3 ] -- [86-5-877 ] 
rotation 19-842-33 to 9-19-67 ,rotation: [ 19-842-33 ] -- [9-19-67 ] 
rotation 85-479-493 ,rotation: [ 85-479-493 ] 
rotation 5-814-8 ,rotation: [ 5-814-8 ] 
rotation 62-76-29 to 105-66-2 ,rotation: [ 62-76-29 ] -- [105-66-2 ] 
rotation 2-49-0 to 74-52-2 ,rotation: [ 2-49-0 ] -- [74-52-2 ] 
rotation 393-63-22 ,rotation: [ 393-63-22 ] 
rotation 464-35-3 ,rotation: [ 464-35-3 ] 
rotation 5-5-18 to 5-68-82 ,rotation: [ 5-5-18 ] -- [5-68-82 ] 
rotation 668-380-1 ,rotation: [ 668-380-1 ] 
rotation 57-43-079 ,rotation: [ 57-43-079 ] 
rotation 89-2-4 ,rotation: [ 89-2-4 ] 
rotation 3-4-3 ,rotation: [ 3-4-3 ] 
rotation 798-244-96 ,rotation: [ 798-244-96 ] 
rotation 678-324-28 ,rotation: [ 678-324-28 ] 
rotation 22-7-079 to 37-820-648 ,rotation: [ 22-7-079 ] -- [37-820-648 ] 
rotation 08-207-2 to 501-407-00 ,rotation: [ 08-207-2 ] -- [501-407-00 ] 
rotation 912-7-860 to 0-03-50 ,rotation: [ 912-7-860 ] -- [0-03-50 ] 
rotation 781-5-951 to 145-1-7 ,rotation: [ 781-5-951 ] -- [145-1-7 ] 
rotation 534-79-38 ,rotation: [ 534-79-38 ] 
rotation 665-644-24 to 715-57-60 ,rotation: [ 665-644-24 ] -- [715-57-60 ] 
rotation 3-991-7 to 8-14-233 ,rotation: [ 3-991-7 ] -- [8-14-233 ] 
rotation 1-50-342 to 055-29-134 ,rotation: [ 1-50-342 ] -- [055-29-134 ] 
rotation 8-306-208 to 7-31-250 ,rotation: [ 8-306-208 ] -- [7-31-250 ] 
rotation 55-7-3 to 717-7-1 ,rotation: [ 55-7-3 ] -- [717-7-1 ] 
rotation 3-880-40 to 0-4-789 ,rotation: [ 3-880-40 ] -- [0-4-789 ] 
rotation 03-685-503 ,rotation: [ 03-685-503 ] 
rotation 3-85-74 ,rotation: [ 3-85-74 ] 
rotation 873-93-9 ,rotation: [ 873-93-9 ] 
rotation 2-26-8 ,rotation: [ 2-26-8 ] 
rotation 4-31-677 ,rotation: [ 4-31-677 ] 
rotation 850-0-205 ,rotation: [ 850-0-205 ] 
rotation 33-889-316 ,rotation: [ 33-889-316 ] 
rotation 25-67-26 ,rotation: [ 25-67-26 ] 
rotation 061-11-184 ,rotation: [ 061-11-184 ] 
rotation 982-6-2 ,rotation: [ 982-6-2 ] 
rotation 6-34-568 to 754-364-374 ,rotation: [ 6-34-568 ] -- [754-364-374 ] 
rotation 6-1-6 to 5-883-00 ,rotation: [ 6-1-6 ] -- [5-883-00 ] 
rotation 54-3-7 to 1-431-096 ,rotation: [ 54-3-7 ] -- [1-431-096 ] 
rotation 69-195-47 to 736-40-7 ,rotation: [ 69-195-47 ] -- [736-40-7 ] 
rotation 231-64-5 to 18-0-93 ,rotation: [ 231-64-5 ] -- [18-0-93 ] 
rotation 5-2-16 ,rotation: [ 5-2-16 ] 
rotation 33-3-827 ,rotation: [ 33-3-827 ] 
rotation 45-8-5 ,rotation: [ 45-8-5 ] 
rotation 483-8-2 ,rotation: [ 483-8-2 ] 
rotation 659-73-474 ,rotation: [ 659-73-474 ] 
rotation 38-6-271 ,rotation: [ 38-6-271 ] 
rotation 94-956-87 ,rotation: [ 94-956-87 ] 
rotation 0-399-391 to 80-059-39 ,rotation: [ 0-399-391 ] -- [80-059-39 ] 
rotation 1-238-4 ,rotation: [ 1-238-4 ] 
rotation 825-3-8 ,rotation: [ 825-3-8 ] 
rotation 740-75-69 ,rotation: [ 740-75-69 ] 
rotation 55-4-14 ,rotation: [ 55-4-14 ] 
rotation 2-187-923 ,rotation: [ 2-187-923 ] 
rotation 28-490-9 ,rotation: [ 28-490-9 ] 
rotation 83-909-12 to 5-3-0 ,rotation: [ 83-909-12 ] -- [5-3-0 ] 
rotation 282-53-2 ,rotation: [ 282-53-2 ] 
rotation 9-8-7 to 17-259-03 ,rotation: [ 9-8-7 ] -- [17-259-03 ] 
rotation 889-515-21 ,rotation: [ 889-515-21 ] 
rotation 53-6-045 ,rotation: [ 53-6-045 ] 
rotation 783-333-5 to 069-28-3 ,rotation: [ 783-333-5 ] -- [069-28-3 ] 
rotation 6-24-78 ,rotation: [ 6-24-78 ] 
rotation 65-13-8 ,rotation: [ 65-13-8 ] 
rotation 6-0-395 ,rotation: [ 6-0-395 ] 
rotation 919-6-429 ,rotation: [ 919-6-429 ] 
rotation 12-097-87 ,rotation: [ 12-097-87 ] 
rotation 5-7-25 to 0-86-468 ,rotation: [ 5-7-25 ] -- [0-86-468 ] 
rotation 4-337-50 ,rotation: [ 4-337-50 ] 
rotation 4-549-0 to 665-8-369 ,rotation: [ 4-549-0 ] -- [665-8-369 ] 
rotation 236-250-05 ,rotation: [ 236-250-05 ] 
rotation 13-306-2 to 016-53-7 ,rotation: [ 13-306-2 ] -- [016-53-7 ] 
rotation 7-69-9 ,rotation: [ 7-69-9 ] 
rotation 1-5-745 ,rotation: [ 1-5-745 ] 
rotation 1-72-785 to 33-634-6 ,rotation: [ 1-72-785 ] -- [33-634-6 ] 
rotation 9-9-3 ,rotation: [ 9-9-3 ] 
rotation 082-4-282 ,rotation: [ 082-4-282 ] 
rotation 1-132-85 to 5-291-2 ,rotation: [ 1-132-85 ] -- [5-291-2 ] 
rotation 165-9-797 ,rotation: [ 165-9-797 ] 
rotation 57-093-676 ,rotation: [ 57-093-676 ] 
rotation 636-8-990 ,rotation: [ 636-8-990 ] 
rotation 597-0-6 to 4-0-034 ,rotation: [ 597-0-6 ] -- [4-0-034 ] 
rotation 3-8-6 ,rotation: [ 3-8-6 ] 
rotation 7-28-088 to 9-22-896 ,rotation: [ 7-28-088 ] -- [9-22-896 ] 
rotation 779-79-21 ,rotation: [ 779-79-21 ] 
rotation 422-23-467 ,rotation: [ 422-23-467 ] 
rotation 7-4-93 to 6-1-262 ,rotation: [ 7-4-93 ] -- [6-1-262 ] 
rotation 10-065-406 to 36-26-12 ,rotation: [ 10-065-406 ] -- [36-26-12 ] 
rotation 11-3-46 ,rotation: [ 11-3-46 ] 
rotation 77-1-76 to 2-9-8 ,rotation: [ 77-1-76 ] -- [2-9-8 ] 
rotation 98-6-2 ,rotation: [ 98-6-2 ] 
rotation 9-088-275 ,rotation: [ 9-088-275 ] 
rotation 4-73-748 ,rotation: [ 4-73-748 ] 
rotation 543-8-5 ,rotation: [ 543-8-5 ] 
rotation 501-7-52 to 005-50-4 ,rotation: [ 501-7-52 ] -- [005-50-4 ] 
rotation 38-237-30 ,rotation: [ 38-237-30 ] 
rotation 6-5-293 to 6-5-6 ,rotation: [ 6-5-293 ] -- [6-5-6 ] 
rotation 44-19-43 ,rotation: [ 44-19-43 ] 
rotation 71-249-62 to 079-006-316 ,rotation: [ 71-249-62 ] -- [079-006-316 ] 
rotation 40-779-722 to 157-2-50 ,rotation: [ 40-779-722 ] -- [157-2-50 ] 
rotation 85-82-89 to 1-36-391 ,rotation: [ 85-82-89 ] -- [1-36-391 ] 
rotation 4-24-061 to 5-4-5 ,rotation: [ 4-24-061 ] -- [5-4-5 ] 
rotation 559-328-16 to 0-22-011 ,rotation: [ 559-328-16 ] -- [0-22-011 ] 
rotation 2-297-8 ,rotation: [ 2-297-8 ] 
rotation 9-47-594 ,rotation: [ 9-47-594 ] 
rotation 676-6-976 ,rotation: [ 676-6-976 ] 
rotation 16-6-2 to 993-208-833 ,rotation: [ 16-6-2 ] -- [993-208-833 ] 
rotation 280-590-022 ,rotation: [ 280-590-022 ] 
rotation 428-29-57 ,rotation: [ 428-29-57 ] 
rotation 87-5-70 to 59-7-600 ,rotation: [ 87-5-70 ] -- [59-7-600 ] 
rotation 1-3-8 to 6-56-659 ,rotation: [ 1-3-8 ] -- [6-56-659 ] 
rotation 52-08-1 to 01-97-819 ,rotation: [ 52-08-1 ] -- [01-97-819 ] 
rotation 27-008-19 ,rotation: [ 27-008-19 ] 
rotation 7-825-310 to 73-691-2 ,rotation: [ 7-825-310 ] -- [73-691-2 ] 
rotation 95-5-476 to 161-166-08 ,rotation: [ 95-5-476 ] -- [161-166-08 ] 
rotation 1-0-952 to 57-330-9 ,rotation: [ 1-0-952 ] -- [57-330-9 ] 
rotation 4-5-459 to 39-9-51 ,rotation: [ 4-5-459 ] -- [39-9-51 ] 
rotation 111-84-599 ,rotation: [ 111-84-599 ] 
rotation 512-8-8 ,rotation: [ 512-8-8 ] 
rotation 99-772-89 to 7-1-06 ,rotation: [ 99-772-89 ] -- [7-1-06 ] 
rotation 41-854-214 ,rotation: [ 41-854-214 ] 
rotation 49-12-02 ,rotation: [ 49-12-02 ] 
rotation 49-17-677 ,rotation: [ 49-17-677 ] 
rotation 4-82-70 ,rotation: [ 4-82-70 ] 
rotation 93-78-655 to 47-81-03 ,rotation: [ 93-78-655 ] -- [47-81-03 ] 
rotation 096-77-8 ,rotation: [ 096-77-8 ] 
rotation 668-137-4 to 40-47-7 ,rotation: [ 668-137-4 ] -- [40-47-7 ] 
rotation 23-87-52 to 9-972-23 ,rotation: [ 23-87-52 ] -- [9-972-23 ] 
rotation 9-91-88 to 045-18-1 ,rotation: [ 9-91-88 ] -- [045-18-1 ] 
rotation 922-181-32 to 56-70-55 ,rotation: [ 922-181-32 ] -- [56-70-55 ] 
rotation 833-83-2 to 233-105-042 ,rotation: [ 833-83-2 ] -- [233-105-042 ] 
rotation 3-3-231 to 154-26-37 ,rotation: [ 3-3-231 ] -- [154-26-37 ] 
rotation 757-584-46 to 532-737-750 ,rotation: [ 757-584-46 ] -- [532-737-750 ] 
rotation 4-3-6 to 42-090-5 ,rotation: [ 4-3-6 ] -- [42-090-5 ] 
rotation 61-0-6 ,rotation: [ 61-0-6 ] 
rotation 77-688-5 ,rotation: [ 77-688-5 ] 
rotation 58-34-70 ,rotation: [ 58-34-70 ] 
rotation 40-771-180 ,rotation: [ 40-771-180 ] 
rotation 536-9-951 ,rotation: [ 536-9-951 ] 
rotation 187-987-52 ,rotation: [ 187-987-52 ] 
rotation 555-4-86 ,rotation: [ 555-4-86 ] 
rotation 6-604-39 to 83-3-91 ,rotation: [ 6-604-39 ] -- [83-3-91 ] 
rotation 8-35-061 ,rotation: [ 8-35-061 ] 
rotation 099-2-235 to 02-42-55 ,rotation: [ 099-2-235 ] -- [02-42-55 ] 
rotation 053-75-046 ,rotation: [ 053-75-046 ] 
rotation 102-2-92 to 231-213-888 ,rotation: [ 102-2-92 ] -- [231-213-888 ] 
rotation 15-570-373 ,rotation: [ 15-570-373 ] 
rotation 944-995-0 to 83-4-329 ,rotation: [ 944-995-0 ] -- [83-4-329 ] 
rotation 14-732-8 ,rotation: [ 14-732-8 ] 
rotation 817-7-710 ,rotation: [ 817-7-710 ] 
rotation 924-55-835 to 0-64-045 ,rotation: [ 924-55-835 ] -- [0-64-045 ] 
rotation 101-249-941 ,rotation: [ 101-249-941 ] 
rotation 556-1-85 to 491-85-051 ,rotation: [ 556-1-85 ] -- [491-85-051 ] 
rotation 0-70-10 ,rotation: [ 0-70-10 ] 
rotation 4-97-32 ,rotation: [ 4-97-32 ] 
rotation 0-072-164 to 29-773-340 ,rotation: [ 0-072-164 ] -- [29-773-340 ] 
rotation 028-35-8 to 5-6-97 ,rotation: [ 028-35-8 ] -- [5-6-97 ] 
rotation 31-651-7 to 19-113-194 ,rotation: [ 31-651-7 ] -- [19-113-194 ] 
rotation 07-33-802 to 24-8-48 ,rotation: [ 07-33-802 ] -- [24-8-48 ] 
rotation 42-9-428 ,rotation: [ 42-9-428 ] 
rotation 3-02-34 to 27-7-45 ,rotation: [ 3-02-34 ] -- [27-7-45 ] 
rotation 707-35-1 ,rotation: [ 707-35-1 ] 
rotation 758-7-264 ,rotation: [ 758-7-264 ] 
rotation 313-73-28 ,rotation: [ 313-73-28 ] 
rotation 589-1-5 to 7-066-3 ,rotation: [ 589-1-5 ] -- [7-066-3 ] 
rotation 5-329-51 ,rotation: [ 5-329-51 ] 
rotation 440-219-074 to 39-427-49 ,rotation: [ 440-219-074 ] -- [39-427-49 ] 
rotation 74-201-28 ,rotation: [ 74-201-28 ] 
rotation 327-3-81 ,rotation: [ 327-3-81 ] 
rotation 4-800-9 to 70-068-497 ,rotation: [ 4-800-9 ] -- [70-068-497 ] 
rotation 6-044-65 to 25-9-0 ,rotation: [ 6-044-65 ] -- [25-9-0 ] 
rotation 286-3-4 ,rotation: [ 286-3-4 ] 
rotation 333-8-296 ,rotation: [ 333-8-296 ] 
rotation 05-963-145 ,rotation: [ 05-963-145 ] 
rotation 95-742-20 ,rotation: [ 95-742-20 ] 
rotation 6-6-760 to 976-3-249 ,rotation: [ 6-6-760 ] -- [976-3-249 ] 
rotation 4-221-6 to 131-17-16 ,rotation: [ 4-221-6 ] -- [131-17-16 ] 
rotation 109-83-5 ,rotation: [ 109-83-5 ] 
rotation 997-878-780 ,rotation: [ 997-878-780 ] 
rotation 1-450-076 to 1-63-79 ,rotation: [ 1-450-076 ] -- [1-63-79 ] 
rotation 2-5-4 ,rotation: [ 2-5-4 ] 
rotation 3-623-286 to 88-01-5 ,rotation: [ 3-623-286 ] -- [88-01-5 ] 
rotation 96-86-042 ,rotation: [ 96-86-042 ] 
rotation 5-60-25 ,rotation: [ 5-60-25 ] 
rotation 05-0-08 to 0-70-461 ,rotation: [ 05-0-08 ] -- [0-70-461 ] 
rotation 873-2-8 to 6-046-33 ,rotation: [ 873-2-8 ] -- [6-046-33 ] 
rotation 99-65-7 to 76-9-1 ,rotation: [ 99-65-7 ] -- [76-9-1 ] 
rotation 87-3-95 to 04-4-14 ,rotation: [ 87-3-95 ] -- [04-4-14 ] 
rotation 87-18-806 ,rotation: [ 87-18-806 ] 
rotation 017-49-9 ,rotation: [ 017-49-9 ] 
rotation 6-98-5 ,rotation: [ 6-98-5 ] 
rotation 5-2-08 ,rotation: [ 5-2-08 ] 
rotation 1-7-43 ,rotation: [ 1-7-43 ] 
rotation 162-03-81 to 2-35-13 ,rotation: [ 162-03-81 ] -- [2-35-13 ] 
rotation 5-854-74 to 117-137-452 ,rotation: [ 5-854-74 ] -- [117-137-452 ] 
rotation 5-926-877 to 93-7-5 ,rotation: [ 5-926-877 ] -- [93-7-5 ] 
rotation 2-37-41 to 4-2-445 ,rotation: [ 2-37-41 ] -- [4-2-445 ] 
rotation 598-793-52 ,rotation: [ 598-793-52 ] 
rotation 899-60-607 ,rotation: [ 899-60-607 ] 
rotation 1-5-31 ,rotation: [ 1-5-31 ] 
rotation 282-32-08 ,rotation: [ 282-32-08 ] 
rotation 07-2-30 ,rotation: [ 07-2-30 ] 
rotation 43-533-475 to 5-107-4 ,rotation: [ 43-533-475 ] -- [5-107-4 ] 
rotation 7-4-95 ,rotation: [ 7-4-95 ] 
rotation 74-67-3 to 3-146-0 ,rotation: [ 74-67-3 ] -- [3-146-0 ] 
rotation 06-0-862 to 4-9-1 ,rotation: [ 06-0-862 ] -- [4-9-1 ] 
rotation 976-456-51 ,rotation: [ 976-456-51 ] 
rotation 3-1-93 ,rotation: [ 3-1-93 ] 
rotation 2-3-914 to 778-1-87 ,rotation: [ 2-3-914 ] -- [778-1-87 ] 
rotation 0-1-1 to 11-92-2 ,rotation: [ 0-1-1 ] -- [11-92-2 ] 
rotation 280-24-8 ,rotation: [ 280-24-8 ] 
rotation 606-75-38 to 8-5-430 ,rotation: [ 606-75-38 ] -- [8-5-430 ] 
rotation 473-3-740 ,rotation: [ 473-3-740 ] 
rotation 27-18-6 to 181-00-9 ,rotation: [ 27-18-6 ] -- [181-00-9 ] 
rotation 223-70-764 to 183-121-8 ,rotation: [ 223-70-764 ] -- [183-121-8 ] 
rotation 1-84-1 to 18-380-11 ,rotation: [ 1-84-1 ] -- [18-380-11 ] 
rotation 0-99-27 to 1-88-8 ,rotation: [ 0-99-27 ] -- [1-88-8 ] 
rotation 01-89-9 ,rotation: [ 01-89-9 ] 
rotation 6-11-1 to 1-81-9 ,rotation: [ 6-11-1 ] -- [1-81-9 ] 
rotation 3-257-52 ,rotation: [ 3-257-52 ] 
rotation 3-89-953 to 84-121-821 ,rotation: [ 3-89-953 ] -- [84-121-821 ] 
rotation 09-6-713 to 484-72-714 ,rotation: [ 09-6-713 ] -- [484-72-714 ] 
rotation 204-89-4 ,rotation: [ 204-89-4 ] 
rotation 965-397-812 ,rotation: [ 965-397-812 ] 
rotation 35-52-16 ,rotation: [ 35-52-16 ] 
rotation 3-3-9 to 9-270-9 ,rotation: [ 3-3-9 ] -- [9-270-9 ] 
rotation 649-83-310 to 5-342-259 ,rotation: [ 649-83-310 ] -- [5-342-259 ] 
rotation 373-967-2 ,rotation: [ 373-967-2 ] 
rotation 75-6-19 to 439-06-7 ,rotation: [ 75-6-19 ] -- [439-06-7 ] 
rotation 21-519-076 ,rotation: [ 21-519-076 ] 
rotation 3-0-3 ,rotation: [ 3-0-3 ] 
rotation 5-25-75 ,rotation: [ 5-25-75 ] 
rotation 9-4-46 ,rotation: [ 9-4-46 ] 
rotation 34-96-72 ,rotation: [ 34-96-72 ] 
rotation 567-556-806 to 9-1-506 ,rotation: [ 567-556-806 ] -- [9-1-506 ] 
rotation 0-728-178 to 617-31-27 ,rotation: [ 0-728-178 ] -- [617-31-27 ] 
rotation 7-801-7 ,rotation: [ 7-801-7 ] 
rotation 39-4-0 to 331-0-7 ,rotation: [ 39-4-0 ] -- [331-0-7 ] 
rotation 911-38-11 to 7-55-73 ,rotation: [ 911-38-11 ] -- [7-55-73 ] 
rotation 9-432-4 ,rotation: [ 9-432-4 ] 
rotation 283-14-766 to 422-93-01 ,rotation: [ 283-14-766 ] -- [422-93-01 ] 
rotation 911-893-745 to 9-4-12 ,rotation: [ 911-893-745 ] -- [9-4-12 ] 
rotation 88-2-749 to 45-23-47 ,rotation: [ 88-2-749 ] -- [45-23-47 ] 
rotation 5-2-4 to 386-99-0 ,rotation: [ 5-2-4 ] -- [386-99-0 ] 
rotation 155-807-85 to 59-1-988 ,rotation: [ 155-807-85 ] -- [59-1-988 ] 
rotation 58-717-4 to 5-7-41 ,rotation: [ 58-717-4 ] -- [5-7-41 ] 
rotation 66-1-887 ,rotation: [ 66-1-887 ] 
rotation 119-7-78 to 78-297-374 ,rotation: [ 119-7-78 ] -- [78-297-374 ] 
rotation 6-7-15 ,rotation: [ 6-7-15 ] 
rotation 1-50-52 ,rotation: [ 1-50-52 ] 
rotation 305-76-99 to 29-9-92 ,rotation: [ 305-76-99 ] -- [29-9-92 ] 
rotation 983-586-06 ,rotation: [ 983-586-06 ] 
rotation 0-21-998 ,rotation: [ 0-21-998 ] 
rotation 5-041-702 ,rotation: [ 5-041-702 ] 
rotation 59-01-3 to 50-434-175 ,rotation: [ 59-01-3 ] -- [50-434-175 ] 
rotation 1-57-19 ,rotation: [ 1-57-19 ] 
rotation 467-945-44 to 805-834-1 ,rotation: [ 467-945-44 ] -- [805-834-1 ] 
rotation 456-95-9 ,rotation: [ 456-95-9 ] 
rotation 01-0-8 to 4-83-4 ,rotation: [ 01-0-8 ] -- [4-83-4 ] 
rotation 643-28-84 ,rotation: [ 643-28-84 ] 
rotation 208-842-712 ,rotation: [ 208-842-712 ] 
rotation 58-09-8 ,rotation: [ 58-09-8 ] 
rotation 86-3-1 to 4-6-60 ,rotation: [ 86-3-1 ] -- [4-6-60 ] 
rotation 010-99-57 ,rotation: [ 010-99-57 ] 
rotation 052-950-0 to 4-5-2 ,rotation: [ 052-950-0 ] -- [4-5-2 ] 
rotation 8-845-778 to 20-6-402 ,rotation: [ 8-845-778 ] -- [20-6-402 ] 
rotation 41-05-5 ,rotation: [ 41-05-5 ] 
rotation 379-944-2 to 78-9-533 ,rotation: [ 379-944-2 ] -- [78-9-533 ] 
rotation 79-33-668 ,rotation: [ 79-33-668 ] 
rotation 082-15-6 ,rotation: [ 082-15-6 ] 
rotation 093-4-729 to 73-296-89 ,rotation: [ 093-4-729 ] -- [73-296-89 ] 
rotation 74-20-4 to 47-41-167 ,rotation: [ 74-20-4 ] -- [47-41-167 ] 
rotation 440-559-40 ,rotation: [ 440-559-40 ] 
rotation 799-99-1 to 839-2-94 ,rotation: [ 799-99-1 ] -- [839-2-94 ] 
rotation 561-00-2 to 722-44-8 ,rotation: [ 561-00-2 ] -- [722-44-8 ] 
rotation 219-65-6 ,rotation: [ 219-65-6 ] 
rotation 99-8-56 to 6-747-9 ,rotation: [ 99-8-56 ] -- [6-747-9 ] 
rotation 4-119-44 ,rotation: [ 4-119-44 ] 
rotation 627-0-94 to 143-51-02 ,rotation: [ 627-0-94 ] -- [143-51-02 ] 
rotation 4-86-04 to 5-2-000 ,rotation: [ 4-86-04 ] -- [5-2-000 ] 
rotation 019-52-05 ,rotation: [ 019-52-05 ] 
rotation 33-36-73 to 92-7-15 ,rotation: [ 33-36-73 ] -- [92-7-15 ] 
rotation 1-62-5 ,rotation: [ 1-62-5 ] 
rotation 819-5-57 ,rotation: [ 819-5-57 ] 
rotation 2-075-6 to 441-92-0 ,rotation: [ 2-075-6 ] -- [441-92-0 ] 
rotation 619-128-28 ,rotation: [ 619-128-28 ] 
rotation 55-06-12 to 3-20-9 ,rotation: [ 55-06-12 ] -- [3-20-9 ] 
rotation 814-2-6 to 26-30-54 ,rotation: [ 814-2-6 ] -- [26-30-54 ] 
rotation 75-8-615 to 55-033-34 ,rotation: [ 75-8-615 ] -- [55-033-34 ] 
rotation 9-89-922 to 38-7-987 ,rotation: [ 9-89-922 ] -- [38-7-987 ] 
rotation 68-034-2 to 0-663-55 ,rotation: [ 68-034-2 ] -- [0-663-55 ] 
rotation 21-19-0 to 41-2-40 ,rotation: [ 21-19-0 ] -- [41-2-40 ] 
rotation 61-053-0 to 20-7-7 ,rotation: [ 61-053-0 ] -- [20-7-7 ] 
rotation 252-7-4 to 527-907-34 ,rotation: [ 252-7-4 ] -- [527-907-34 ] 
rotation 905-4-6 ,rotation: [ 905-4-6 ] 
rotation 84-663-32 ,rotation: [ 84-663-32 ] 
rotation 618-232-454 to 328-21-8 ,rotation: [ 618-232-454 ] -- [328-21-8 ] 
rotation 77-292-75 ,rotation: [ 77-292-75 ] 
rotation 9-63-79 ,rotation: [ 9-63-79 ] 
rotation 3-2-0 to 48-8-75 ,rotation: [ 3-2-0 ] -- [48-8-75 ] 
rotation 6-3-9 ,rotation: [ 6-3-9 ] 
rotation 79-1-1 ,rotation: [ 79-1-1 ] 
rotation 58-6-6 ,rotation: [ 58-6-6 ] 
rotation 8-016-26 to 875-69-69 ,rotation: [ 8-016-26 ] -- [875-69-69 ] 
rotation 610-70-518 to 8-4-165 ,rotation: [ 610-70-518 ] -- [8-4-165 ] 
rotation 67-141-01 ,rotation: [ 67-141-01 ] 
rotation 115-4-50 to 634-90-801 ,rotation: [ 115-4-50 ] -- [634-90-801 ] 
rotation 69-6-675 ,rotation: [ 69-6-675 ] 
rotation 2-770-4 ,rotation: [ 2-770-4 ] 
rotation 267-71-78 ,rotation: [ 267-71-78 ] 
rotation 36-8-683 to 696-054-868 ,rotation: [ 36-8-683 ] -- [696-054-868 ] 
rotation 1-176-827 ,rotation: [ 1-176-827 ] 
rotation 886-21-448 ,rotation: [ 886-21-448 ] 
rotation 2-0-9 ,rotation: [ 2-0-9 ] 
